Bank| Other Loan|"""Excellent & user friendly"""|                                 ICICI BANK is very convenient to do the transaction. Am using the salary account for almost 3 years and its very secured banking. I have visited the branch twice or thrice and ennumber of time contacted the customer care, the response was good and 90% they are easily approachable.|PM|                                     , bangalore|                                     Reviewed on Aug 30, 2019
ICICI Bank| Credit Card|"""Good for the basic usage"""|                                 I am not using ICICI regularly because I have so many cards hence I couldn't manage so I am using it as per my schedule. I am holding Coral ICICI card for last 6 to7 years, they are good in customer support, the help desk is very helpful. I am fine with it.|  RADHAKRISHNAN|                                     , chennai|                                     Reviewed on Aug 30, 2019
ICICI Bank| Credit Card|"""Need to enhance the credit limit"""|                                 For the past 13 yrs I am using Platinum card from ICICI bank. The banker got a call offered for this card and once verification done received card on time but they have not yet upgrade the card. Statement date will receive it on time. It was a  life time credit card and limit which was given 15 thousands only till now they have not enhanced yet . |SHAN|                                     , chennai|                                     Reviewed on Aug 30, 2019
ICICI Bank| Credit Card|"""Need overall improvement"""|                                 I am not satisfied with ICICI credit limit hence I need to enhance the limit. I am using this credit card for last four years but still they are also lacking in the offers part. Therefore I would like to suggest them to increase the offers and limit.|SATHEES |                                     , bangalore|                                     Reviewed on Aug 30, 2019
ICICI Bank| Personal Loan|"""Happy service"""|                                 I took a personal loan with ICICI BANK and they have provided me a rate of interest is 10.5%. The services are good and its easily I can track the status of my loan application and the loan amount. They have sanctioned the loan amount in 10days overall am satisfied.|C|                                     , hyderabad|                                     Reviewed on Aug 29, 2019
ICICI Bank| Credit Card|"""Need to reduce the charges"""|                                 ICICI BANK is providing good benefits and am using Coral credit card for last 5 years. There was annual fee of Rs.500. I am satisfied with the credit limit and they are enhancing the limit on regular intervals. I am getting cashback offers and discounts. They are charging 12 to 14% for EMI conversion which is not encourage able by the customer.|S.C|                                     , hyderabad|                                     Reviewed on Aug 29, 2019
ICICI Bank| Other Loan|"""Good"""|                                 ICICI BANK is also good and am using the salary account for past 5 years.I have called the customer service for converting my reward points and to know about the benefits of the credit card. They are explaining me about everything and the response was very prompt. Overall am happy with the services.|SHASHIDHAR   |                                     , hyderabad|                                     Reviewed on Aug 29, 2019
ICICI Bank| Saving Account|"""Good """|                                 ICICI is a very good bank and am operating their salary account for past 20 years. I have not faced any challenges with this bank. The interest rate is very higher for personal loan than other banks. I prefer mobile banking which is very convenient for me. They are charging for IMPS transfer.| SRI |                                     , chennai|                                     Reviewed on Aug 29, 2019
ICICI Bank| Credit Card|"""Good"""|                                 I am using ICICI BANK coral credit card for the past 5 months. Before I was using other card now they have upgraded to new one. Credit limit is good and sufficient to use. It is an annual fee chargeable card. There is an option for an airport lounges and dining purposes. |RE|                                     , hyderabad|                                     Reviewed on Aug 28, 2019
ICICI Bank| Credit Card|"""Good"""|                                 I am holding ICICI BANK platinum credit card for the past 15 years. Credit limit is good and sufficient to use.It was a life time free credit card which was given from bank. EMI options are applicable and charges are nominal for this card. There is no option for dining and airport lounges. |VEN|                                     , hyderabad|                                     Reviewed on Aug 28, 2019
ICICI Bank| Saving Account|"""Good"""|                                 I have an account  with ICICI bank for saving purpose I have been using more than 20 years. There is no hidden charges in this bank and no need to maintain a minimum balance account. I use to get an alert messages from bank whenever I do a transactions.|VENK |                                     , hyderabad|                                     Reviewed on Aug 28, 2019
